mask,day,case,slice,has_ann,slice_max,is_pseudo,fold
case115/day0/slice_0116_mask.npy,day0,case115,116,False,-1,True,-1
case115/day0/slice_0115_mask.npy,day0,case115,115,False,-1,True,-1
case115/day0/slice_0117_mask.npy,day0,case115,117,False,-1,True,-1
case115/day0/slice_0119_mask.npy,day0,case115,119,False,-1,True,-1
case115/day0/slice_0114_mask.npy,day0,case115,114,False,-1,True,-1
case115/day0/slice_0118_mask.npy,day0,case115,118,False,-1,True,-1
case130/day20/slice_0116_mask.npy,day20,case130,116,False,-1,True,-1
case130/day20/slice_0113_mask.npy,day20,case130,113,False,-1,True,-1
case130/day20/slice_0110_mask.npy,day20,case130,110,False,-1,True,-1
case130/day20/slice_0115_mask.npy,day20,case130,115,False,-1,True,-1
case130/day20/slice_0111_mask.npy,day20,case130,111,False,-1,True,-1
case130/day20/slice_0117_mask.npy,day20,case130,117,False,-1,True,-1
case130/day20/slice_0119_mask.npy,day20,case130,119,False,-1,True,-1
case130/day20/slice_0114_mask.npy,day20,case130,114,False,-1,True,-1
case130/day20/slice_0118_mask.npy,day20,case130,118,False,-1,True,-1
case130/day20/slice_0112_mask.npy,day20,case130,112,False,-1,True,-1
case130/day22/slice_0116_mask.npy,day22,case130,116,False,-1,True,-1
case130/day22/slice_0115_mask.npy,day22,case130,115,False,-1,True,-1
case130/day22/slice_0117_mask.npy,day22,case130,117,False,-1,True,-1
case130/day22/slice_0119_mask.npy,day22,case130,119,False,-1,True,-1
case130/day22/slice_0118_mask.npy,day22,case130,118,False,-1,True,-1
case119/day25/slice_0116_mask.npy,day25,case119,116,False,-1,True,-1
case119/day25/slice_0117_mask.npy,day25,case119,117,False,-1,True,-1
case119/day25/slice_0119_mask.npy,day25,case119,119,False,-1,True,-1
case119/day25/slice_0118_mask.npy,day25,case119,118,False,-1,True,-1
case119/day20/slice_0119_mask.npy,day20,case119,119,False,-1,True,-1
case119/day20/slice_0118_mask.npy,day20,case119,118,False,-1,True,-1
case119/day19/slice_0116_mask.npy,day19,case119,116,False,-1,True,-1
case119/day19/slice_0113_mask.npy,day19,case119,113,False,-1,True,-1
case119/day19/slice_0110_mask.npy,day19,case119,110,False,-1,True,-1
case119/day19/slice_0115_mask.npy,day19,case119,115,False,-1,True,-1
case119/day19/slice_0111_mask.npy,day19,case119,111,False,-1,True,-1
case119/day19/slice_0117_mask.npy,day19,case119,117,False,-1,True,-1
case119/day19/slice_0119_mask.npy,day19,case119,119,False,-1,True,-1
case119/day19/slice_0114_mask.npy,day19,case119,114,False,-1,True,-1
case119/day19/slice_0118_mask.npy,day19,case119,118,False,-1,True,-1
case119/day19/slice_0112_mask.npy,day19,case119,112,False,-1,True,-1
case119/day0/slice_0117_mask.npy,day0,case119,117,False,-1,True,-1
